title,description,provider,duration,skills,level,rating,category,price,prerequisites,learning_outcomes
Python Programming Fundamentals,Master Python from basics to advanced concepts including data structures algorithms and object-oriented programming. Build real projects and gain hands-on coding experience.,Coursera,10 weeks,"Python programming, data structures, algorithms, OOP, debugging",Beginner,4.8,Programming,49,None,"Write clean Python code, understand data structures, build applications"
Data Science Bootcamp,Comprehensive data science training covering Python R SQL machine learning statistics and data visualization. Includes 5 real-world capstone projects.,Udemy,16 weeks,"Python, R, SQL, machine learning, statistics, pandas, matplotlib, seaborn",Intermediate,4.7,Data Science,199,Basic programming knowledge,"Analyze large datasets, build predictive models, create data visualizations"
Web Development Complete,Learn full-stack web development with HTML CSS JavaScript React Node.js and databases. Build and deploy modern responsive websites.,freeCodeCamp,14 weeks,"HTML, CSS, JavaScript, React, Node.js, MongoDB, responsive design",Beginner,4.9,Web Development,0,None,"Build full-stack web applications, deploy to cloud, responsive design"
Machine Learning Engineering,Advanced machine learning course covering deep learning neural networks computer vision and NLP. Focus on production ML systems.,edX,20 weeks,"Python, TensorFlow, PyTorch, deep learning, neural networks, computer vision, NLP",Advanced,4.6,Machine Learning,299,Python and statistics background,"Deploy ML models, build neural networks, solve computer vision problems"
Digital Marketing Mastery,Complete digital marketing strategy including SEO social media marketing email marketing analytics and conversion optimization.,Coursera,8 weeks,"SEO, social media marketing, Google Analytics, email marketing, content marketing",Beginner,4.5,Marketing,89,None,"Create marketing campaigns, analyze performance, optimize conversions"
Business Analytics with Excel,Learn advanced Excel data analysis pivot tables VBA and business intelligence. Focus on real business problem solving.,LinkedIn Learning,6 weeks,"Excel, pivot tables, VBA, data analysis, business intelligence, Power BI",Beginner,4.4,Business,59,Basic Excel knowledge,"Create business dashboards, analyze business data, automate reports"
Cybersecurity Fundamentals,Introduction to cybersecurity covering network security ethical hacking risk assessment and security protocols.,Udemy,12 weeks,"network security, ethical hacking, risk assessment, security protocols, penetration testing",Intermediate,4.6,Cybersecurity,149,Basic IT knowledge,"Assess security risks, implement security measures, perform ethical hacking"
Mobile App Development,Build iOS and Android apps using React Native and Flutter. Learn mobile UI design app store deployment and monetization.,Coursera,18 weeks,"React Native, Flutter, mobile UI design, app deployment, Firebase",Intermediate,4.7,Mobile Development,179,Basic programming knowledge,"Build cross-platform mobile apps, deploy to app stores, implement user authentication"
Cloud Computing AWS,Master Amazon Web Services including EC2 S3 Lambda serverless architecture and cloud deployment strategies.,AWS Training,10 weeks,"AWS, EC2, S3, Lambda, serverless, cloud architecture, DevOps",Intermediate,4.8,Cloud Computing,199,Basic programming and networking,"Deploy scalable cloud applications, manage cloud infrastructure, implement serverless solutions"
UX/UI Design Bootcamp,Complete user experience and interface design course covering user research wireframing prototyping and design systems.,Udacity,12 weeks,"UX research, wireframing, prototyping, Figma, design systems, user testing",Beginner,4.6,Design,299,None,"Design user-friendly interfaces, conduct user research, create design systems"
Financial Analysis and Modeling,Learn financial modeling valuation techniques investment analysis and risk management using Excel and Python.,edX,14 weeks,"financial modeling, valuation, investment analysis, Excel, Python, risk management",Intermediate,4.5,Finance,249,Basic finance and Excel knowledge,"Build financial models, perform company valuations, analyze investment opportunities"
Project Management Professional,Comprehensive project management training covering Agile Scrum waterfall methodologies and PMP certification preparation.,PMI,16 weeks,"project management, Agile, Scrum, waterfall, risk management, stakeholder management",Intermediate,4.7,Management,399,Work experience preferred,"Lead projects successfully, manage teams and budgets, apply Agile methodologies"
Artificial Intelligence Ethics,Explore ethical implications of AI including bias fairness privacy and responsible AI development practices.,Stanford Online,6 weeks,"AI ethics, bias detection, fairness, privacy, responsible AI, algorithmic accountability",Advanced,4.8,Ethics,Free,Basic AI knowledge,"Develop ethical AI systems, identify and mitigate bias, implement responsible AI practices"
